Original Name,Matched Name,Spotify ID,Match Type,Popularity,Followers
Lavern,Lavern,03y4yOxhLk6MDJ1bV424uO,exact,65,143290
Layton Giordani,Layton Giordani,7mC3RkNNTV6p2j9w4F8Ip4,exact,59,96352
Le Youth,Le Youth,1Zz6NBe8UIZjm88TvehFtx,exact,53,121180
LEVEL UP,LEVEL UP,1ZpDxqXS6HAvoZyCzQfKRb,exact,47,49833
Levenkhan,Levenkhan,0ceEjm8IKMdK5BjMmnGMrd,exact,40,8024
Levity,Levity,1PbO7aQiVeKbGp8GYWDL9C,exact,53,87053
LF System,LF SYSTEM,0HxX6imltnNXJyQhu4nsiO,exact,62,89322
Lil Texas,Lil Texas,76raIy8boaM9sf9gMGXGJ5,exact,57,110377
Linska,Linska,5f7jxYF5js7lD5lMyIPUBq,exact,44,3878
Liquid Stranger,Liquid Stranger,4YJsSCuag8W1TFTgSeEc2k,exact,46,236802
Lostly,Lostly,39YXQGcflynecg2L3APfqf,exact,30,5529
Loud Luxury,Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,exact,66,675580
Maddix,Maddix,0RMeG9M8QFzss9bAbq99KA,exact,66,185427
Malugi,MALUGI,50udUOTR7dQUgyPwPuCLM6,exact,52,26995
Marco Strous,Marco Strous,56HtyYJoZvYc5aVdqDd94i,exact,28,12468
Marie Vaunt,Marie Vaunt,50KydUSYhBFGorhAgUcrL5,exact,46,19974
Marlon Hoffstadt,Marlon Hoffstadt,0HHa7ZJZxUQlg5l2mB0N0f,exact,63,142118
Masha Mar,Masha Mar,5VuWDNXNzHEO08J2Hv3bU2,exact,9,892
Matroda,Matroda,45lcbTsX07JWzmTIjcdyBz,exact,58,144537
Mau P,Mau P,0w1sbtZVQoK6GzV4A4OkCv,exact,63,146473
Max Styler,Max Styler,3NKKngINK1tP6BFy0WOyWk,exact,53,48451
MAX,MAX,1bqxdqvUtPWZri43cKHac8,exact,65,941050
MCR-T,MCR-T,4m7q9onIm2bqhwHy9utqmw,exact,52,66506
Meduza,MEDUZA,0xRXCcSX89eobfrshSVdyu,exact,73,883793
Mike Posner,Mike Posner,2KsP6tYLJlTBvSUxnwlVWa,exact,70,1451923
Mish,Mish,65kwwmTEJIlKRldGhmUM0b,c,,
Miss Monique,Miss Monique,29TpNOsTNYbLb6Xa10H0PR,exact,56,307676
MIYUKI,MIYUKI,3wKGj4pfrrQv534LZ85YkR,exact,3,10
Mochakk,Mochakk,0rTh1tAdrEbdKZBTiiAQSo,exact,58,481840
Mr. Brooks,Mr. Brooks,7bXHsZgjppjPTXXsvGRT8u,exact,4,123
MRD,MRD,4bpzygoBaq9IUDs3XAxqpR,exact,38,30465
Narciss,Narciss,7jEmLGxzh2RuOwdj96tlyL,exact,43,25111
Netsky,Netsky,5TgQ66WuWkoQ2xYxaSTnVP,exact,58,460532
NGHTMRE,NGHTMRE,76M2Ekj8bG8W7X2nbx2CpF,exact,57,472078
Nico Moreno,Nico Moreno,6fjhNhp9IoeiZpEXq9AT2S,exact,55,289021
Nils Hoffmann,Nils Hoffmann,6sOEMfvCfHQ9dhSWyamXVb,exact,56,70849
Noizu,Noizu,3VRyybsQu0MDG0F2LBxnv7,exact,57,90456
Nora En Pure,Nora En Pure,24DO0PijjITGIEWsO8XaPs,exact,59,454789
Odd Mob,Odd Mob,4qLwtWhlhyAoQ4S9mSrDW9,exact,63,97713
Of The Trees,Of The Trees,5V7NIXgCnX2KuQ01Bxg20c,exact,50,112530
Oguz,Oguz,2nZZAQwLjRD5Mq95dj2znB,exact,4,27
OMIKI,Omiki,7pHwBqsYULdAdHgSwf1q9f,exact,53,108559
OMNOM,OMNOM,3PYRXP25JcbqhvNaJYcnWy,exact,49,26173
OMRI.,OMRI.,36jn1T9teX1BHEJYcPoazX,exact,31,5066
Onlynumbers,Onlynumbers,14lZi2xEonJg9DyYk9JBak,exact,48,17877
