Original Name,Matched Name,Spotify ID,Match Type,Popularity,Followers
Wyatt Flores,Wyatt Flores,46lEQmDJLJeyltECJYJv1Y,yes,67,370590
Wild Rivers,Wild Rivers,59sBwR0jPSTrbMtuTkRPN5,exact,65,277797
Willow Avalon,Willow Avalon,6EEkobfnenJF603WO8nUrR,exact,52,158569
Winnetka Bowling League,Winnetka Bowling League,4ug3P1K8BaCdJXROrqHqhu,exact,46,78788
Winyah,Winyah,4iyP4VOGOLzbt2Vxcyu6zG,c,,
Wunderhorse,Wunderhorse,41pd7r1XBRsvdxY3vHEgib,exact,63,154315
Xaviersobased,xaviersobased,2oM7LMPFu882oC6jSwEqjd,exact,60,126202
Xdinary Heroes,Xdinary Heroes,1khChLj7REGqjM043PlYyn,yes,60,1161974
Yana,Yana,6bR96LMvgvYgDlumR7JwPX,exact,50,24018
Young Miko,Young Miko,3qsKSpcV3ncke3hw52JSMB,exact,77,3700262
Zindagevlin,Zindagevlin,2bTnGGWvuVQsMVyg31rmum,c,,
Zoe Ko,Zoe Ko,493xhO4GiL1eOhWUBt8CzZ,exact,41,27040
2hollis,2hollis,72NhFAGG5Pt91VbheJeEPG,c,,
